Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	16	
pfam00082	Subtilase family	47	
pfam00083	Sugar (and other) transporter	5	
pfam00084	Sushi repeat (SCR repeat)	2	
pfam00085	Thioredoxin	26	
pfam00089	Trypsin	7	
pfam00091	Tubulin/FtsZ family, GTPase domain	29	
pfam00092	von Willebrand factor type A domain	27	
pfam00094	von Willebrand factor type D domain	1	
pfam00098	Zinc knuckle	15	
pfam00101	Ribulose bisphosphate carboxylase, small chain	1	
pfam00102	Protein-tyrosine phosphatase	3	
pfam00106	short chain dehydrogenase	190	
pfam00107	Zinc-binding dehydrogenase	79	
pfam00108	Thiolase, N-terminal domain	43	
pfam00109	Beta-ketoacyl synthase, N-terminal domain	40	
pfam00111	2Fe-2S iron-sulfur cluster binding domain	49	
pfam00112	Papain family cysteine protease	3	
pfam00113	Enolase, C-terminal TIM barrel domain	20	
pfam00115	Cytochrome C and Quinol oxidase polypeptide I	52	
pfam00116	Cytochrome C oxidase subunit II, periplasmic domain	19	
pfam00117	Glutamine amidotransferase class-I	128	
pfam00118	TCP-1/cpn60 chaperonin family	41	
pfam00119	ATP synthase A chain	27	
pfam00120	Glutamine synthetase, catalytic domain	45	
pfam00121	Triosephosphate isomerase	20	
pfam00122	E1-E2 ATPase	12	
pfam00124	Photosynthetic reaction centre protein	7	
pfam00125	Core histone H2A/H2B/H3/H4	2	
pfam00126	Bacterial regulatory helix-turn-helix protein, lysR family	27	
pfam00127	Copper binding proteins, plastocyanin/azurin family	16	
pfam00128	Alpha amylase, catalytic domain	25	
pfam00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	1	
pfam00132	Bacterial transferase hexapeptide (six repeats)	62	
pfam00133	tRNA synthetases class I (I, L, M and V)	141	
pfam00135	Carboxylesterase family	13	
pfam00136	DNA polymerase family B	4	
pfam00137	ATP synthase subunit C	20	
pfam00140	Sigma-70 factor, region 1.2	32	
pfam00141	Peroxidase	15	
pfam00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	1	
pfam00144	Beta-lactamase	39	
pfam00145	C-5 cytosine-specific DNA methylase	128	
pfam00146	NADH dehydrogenase	29	
pfam00148	Nitrogenase component 1 type Oxidoreductase	2	
pfam00149	Calcineurin-like phosphoesterase	43	
pfam00150	Cellulase (glycosyl hydrolase family 5)	1	
pfam00152	tRNA synthetases class II (D, K and N)	83	
pfam00153	Mitochondrial carrier protein	1	
pfam00154	recA bacterial DNA recombination protein	34	
pfam00155	Aminotransferase class I and II	145	
pfam00156	Phosphoribosyl transferase domain	65	
pfam00158	Sigma-54 interaction domain	39	
pfam00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	27	
pfam00162	Phosphoglycerate kinase	36	
pfam00163	Ribosomal protein S4/S9 N-terminal domain	14	
pfam00164	Ribosomal protein S12/S23	20	
pfam00165	Bacterial regulatory helix-turn-helix proteins, AraC family	1	
pfam00166	Chaperonin 10 Kd subunit	21	
pfam00171	Aldehyde dehydrogenase family	130	
pfam00174	Oxidoreductase molybdopterin binding domain	19	
pfam00175	Oxidoreductase NAD-binding domain	25	
pfam00176	SNF2 family N-terminal domain	43	
pfam00177	Ribosomal protein S7p/S5e	21	
pfam00180	Isocitrate/isopropylmalate dehydrogenase	60	
pfam00181	Ribosomal Proteins L2, RNA binding domain	18	
pfam00183	Hsp90 protein	17	
pfam00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	32	
pfam00186	Dihydrofolate reductase	5	
pfam00188	Cysteine-rich secretory protein family	5	
pfam00189	Ribosomal protein S3, C-terminal domain	17	
pfam00190	Cupin	1	
pfam00194	Eukaryotic-type carbonic anhydrase	1	
pfam00196	Bacterial regulatory proteins, luxR family	14	
pfam00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	58	
pfam00199	Catalase	2	
pfam00201	UDP-glucoronosyl and UDP-glucosyl transferase	4	
pfam00202	Aminotransferase class-III	124	
pfam00203	Ribosomal protein S19	13	
pfam00204	DNA gyrase B	31	
pfam00205	Thiamine pyrophosphate enzyme, central domain	65	
pfam00206	Lyase	81	
pfam00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	23	
pfam00209	Sodium:neurotransmitter symporter family	12	
pfam00210	Ferritin-like domain	22	
pfam00211	Adenylate and Guanylate cyclase catalytic domain	26	
pfam00213	ATP synthase delta (OSCP) subunit	19	
pfam00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	17	
pfam00216	Bacterial DNA-binding protein	33	
pfam00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	1	
pfam00218	Indole-3-glycerol phosphate synthase	16	
pfam00221	Aromatic amino acid lyase	9	
pfam00223	Photosystem I psaA/psaB protein	3	
pfam00224	Pyruvate kinase, barrel domain	23	
pfam00225	Kinesin motor domain	3	
pfam00226	DnaJ domain	45	
pfam00227	Proteasome subunit	22	
pfam00230	Major intrinsic protein	20	
pfam00231	ATP synthase	18	
pfam00232	Glycosyl hydrolase family 1	9	
pfam00237	Ribosomal protein L22p/L17e	17	
pfam00238	Ribosomal protein L14p/L23e	24	
pfam00239	Resolvase, N terminal domain	13	
pfam00240	Ubiquitin family	1	
pfam00245	Alkaline phosphatase	5	
pfam00246	Zinc carboxypeptidase	8	
pfam00248	Aldo/keto reductase family	99	
pfam00250	Forkhead domain	1	
pfam00251	Glycosyl hydrolases family 32 N-terminal domain	8	
pfam00252	Ribosomal protein L16p/L10e	21	
pfam00253	Ribosomal protein S14p/S29e	13	
pfam00254	FKBP-type peptidyl-prolyl cis-trans isomerase	15	
pfam00255	Glutathione peroxidase	6	
pfam00258	Flavodoxin	4	
pfam00263	Bacterial type II and III secretion system protein	22	
pfam00264	Common central domain of tyrosinase	1	
pfam00265	Thymidine kinase	3	
pfam00266	Aminotransferase class-V	126	
pfam00268	Ribonucleotide reductase, small chain	9	
pfam00270	DEAD/DEAH box helicase	99	
pfam00271	Helicase conserved C-terminal domain	206	
pfam00274	Fructose-bisphosphate aldolase class-I	11	
pfam00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	59	
pfam00276	Ribosomal protein L23	22	
pfam00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	22	
pfam00281	Ribosomal protein L5	23	
pfam00282	Pyridoxal-dependent decarboxylase conserved domain	23	
pfam00283	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	2	
pfam00284	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	1	
pfam00285	Citrate synthase, C-terminal domain	33	
pfam00288	GHMP kinases N terminal domain	23	
pfam00289	Biotin carboxylase, N-terminal domain	33	
pfam00290	Tryptophan synthase alpha chain	16	
pfam00291	Pyridoxal-phosphate dependent enzyme	131	
pfam00293	NUDIX domain	59	
pfam00294	pfkB family carbohydrate kinase	56	
pfam00296	Luciferase-like monooxygenase	104	
pfam00297	Ribosomal protein L3	15	
pfam00298	Ribosomal protein L11, RNA binding domain	17	
pfam00300	Histidine phosphatase superfamily (branch 1)	39	
pfam00301	Rubredoxin	8	
pfam00303	Thymidylate synthase	9	
pfam00306	ATP synthase alpha/beta chain, C terminal domain	18	
pfam00307	Calponin homology (CH) domain	1	
pfam00308	Bacterial dnaA protein	30	
pfam00309	Sigma-54 factor, Activator interacting domain (AID)	7	
pfam00310	Glutamine amidotransferases class-II	25	
pfam00311	Phosphoenolpyruvate carboxylase	12	
pfam00312	Ribosomal protein S15	25	
pfam00313	'Cold-shock' DNA-binding domain	16	
pfam00317	Ribonucleotide reductase, all-alpha domain	13	
pfam00318	Ribosomal protein S2	23	
pfam00324	Amino acid permease	3	
pfam00326	Prolyl oligopeptidase family	39	
pfam00327	Ribosomal protein L30p/L7e	14	
pfam00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	26	
pfam00330	Aconitase family (aconitate hydratase)	68	
pfam00331	Glycosyl hydrolase family 10	1	
pfam00333	Ribosomal protein S5, N-terminal domain	16	
pfam00334	Nucleoside diphosphate kinase	26	
pfam00338	Ribosomal protein S10p/S20e	20	
pfam00339	Arrestin (or S-antigen), N-terminal domain	1	
pfam00342	Phosphoglucose isomerase	24	
pfam00343	Carbohydrate phosphorylase	7	
pfam00344	SecY translocase	26	
pfam00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	19	
pfam00347	Ribosomal protein L6	23	
pfam00348	Polyprenyl synthetase	46	
pfam00350	Dynamin family	3	
pfam00351	Biopterin-dependent aromatic amino acid hydroxylase	3	
pfam00352	Transcription factor TFIID (or TATA-binding protein, TBP)	7	
pfam00353	Haemolysin-type calcium-binding repeat (2 copies)	6	
pfam00355	Rieske [2Fe-2S] domain	73	
pfam00356	Bacterial regulatory proteins, lacI family	19	
pfam00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	11	
pfam00361	Proton-conducting membrane transporter	90	
pfam00364	Biotin-requiring enzyme	79	
pfam00365	Phosphofructokinase	14	
pfam00366	Ribosomal protein S17	15	
pfam00368	Hydroxymethylglutaryl-coenzyme A reductase	6	
pfam00370	FGGY family of carbohydrate kinases, N-terminal domain	29	
pfam00374	Nickel-dependent hydrogenase	2	
pfam00375	Sodium:dicarboxylate symporter family	19	
pfam00378	Enoyl-CoA hydratase/isomerase	121	
pfam00380	Ribosomal protein S9/S16	20	
pfam00381	PTS HPr component phosphorylation site	16	
pfam00382	Transcription factor TFIIB repeat	8	
pfam00383	Cytidine and deoxycytidylate deaminase zinc-binding region	26	
pfam00384	Molybdopterin oxidoreductase	48	
pfam00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	11	
pfam00390	Malic enzyme, N-terminal domain	12	
pfam00391	PEP-utilising enzyme, mobile domain	25	
pfam00392	Bacterial regulatory proteins, gntR family	24	
pfam00393	6-phosphogluconate dehydrogenase, C-terminal domain	7	
pfam00394	Multicopper oxidase	3	
pfam00395	S-layer homology domain	2	
pfam00397	WW domain	1	
pfam00398	Ribosomal RNA adenine dimethylase	27	
pfam00400	WD domain, G-beta repeat	38	
pfam00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	2	
pfam00403	Heavy-metal-associated domain	6	
pfam00404	Dockerin type I repeat	1	
pfam00406	Adenylate kinase	18	
pfam00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	28	
pfam00410	Ribosomal protein S8	21	
pfam00411	Ribosomal protein S11	15	
pfam00413	Matrixin	11	
pfam00415	Regulator of chromosome condensation (RCC1) repeat	3	
pfam00416	Ribosomal protein S13/S18	18	
pfam00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	22	
pfam00421	Photosystem II protein	3	
pfam00425	chorismate binding enzyme	34	
pfam00427	Phycobilisome Linker polypeptide	7	
pfam00428	60s Acidic ribosomal protein	2	
pfam00430	ATP synthase B/B' CF(0)	17	
pfam00431	CUB domain	2	
pfam00436	Single-strand binding protein family	20	
pfam00437	Type II/IV secretion system protein	40	
pfam00438	S-adenosylmethionine synthetase, N-terminal domain	19	
pfam00440	Bacterial regulatory proteins, tetR family	14	
pfam00441	Acyl-CoA dehydrogenase, C-terminal domain	109	
pfam00443	Ubiquitin carboxyl-terminal hydrolase	2	
pfam00444	Ribosomal protein L36	6	
pfam00445	Ribonuclease T2 family	1	
pfam00448	SRP54-type protein, GTPase domain	38	
pfam00449	Urease alpha-subunit, N-terminal domain	4	
pfam00450	Serine carboxypeptidase	2	
pfam00453	Ribosomal protein L20	16	
pfam00455	DeoR C terminal sensor domain	2	
pfam00456	Transketolase, thiamine diphosphate binding domain	45	
pfam00459	Inositol monophosphatase family	60	
pfam00460	Flagella basal body rod protein	13	
pfam00462	Glutaredoxin	18	
pfam00463	Isocitrate lyase family	6	
pfam00464	Serine hydroxymethyltransferase	34	
pfam00465	Iron-containing alcohol dehydrogenase	15	
pfam00466	Ribosomal protein L10	20	
pfam00467	KOW motif	26	
pfam00468	Ribosomal protein L34	5	
pfam00471	Ribosomal protein L33	11	
pfam00472	RF-1 domain	39	
pfam00474	Sodium:solute symporter family	51	
pfam00475	Imidazoleglycerol-phosphate dehydratase	22	
pfam00476	DNA polymerase family A	46	
pfam00478	IMP dehydrogenase / GMP reductase domain	34	
pfam00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	11	
pfam00480	ROK family	20	
pfam00481	Protein phosphatase 2C	1	
pfam00482	Type II secretion system (T2SS), protein F	31	
pfam00483	Nucleotidyl transferase	59	
pfam00484	Carbonic anhydrase	8	
pfam00485	Phosphoribulokinase / Uridine kinase family	3	
pfam00486	Transcriptional regulatory protein, C terminal	48	
pfam00487	Fatty acid desaturase	27	
pfam00488	MutS domain V	30	
pfam00490	Delta-aminolevulinic acid dehydratase	17	
pfam00491	Arginase family	26	
pfam00493	MCM2/3/5 family	4	
pfam00494	Squalene/phytoene synthase	19	
pfam00496	Bacterial extracellular solute-binding proteins, family 5 Middle	176	
pfam00497	Bacterial extracellular solute-binding proteins, family 3	42	
pfam00498	FHA domain	10	
pfam00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	19	
pfam00501	AMP-binding enzyme	186	
pfam00502	Phycobilisome protein	12	
pfam00504	Chlorophyll A-B binding protein	4	
pfam00505	HMG (high mobility group) box	1	
pfam00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	16	
pfam00510	Cytochrome c oxidase subunit III	21	
pfam00512	His Kinase A (phospho-acceptor) domain	55	
pfam00515	Tetratricopeptide repeat	42	
pfam00520	Ion transport protein	11	
pfam00521	DNA gyrase/topoisomerase IV, subunit A	54	
pfam00528	Binding-protein-dependent transport system inner membrane component	464	
pfam00529	HlyD membrane-fusion protein of T1SS	1	
pfam00530	Scavenger receptor cysteine-rich domain	9	
pfam00531	Death domain	3	
pfam00532	Periplasmic binding proteins and sugar binding domain of LacI family	2	
pfam00533	BRCA1 C Terminus (BRCT) domain	14	
pfam00534	Glycosyl transferases group 1	54	
pfam00535	Glycosyl transferase family 2	66	
pfam00538	linker histone H1 and H5 family	1	
pfam00542	Ribosomal protein L7/L12 C-terminal domain	16	
pfam00543	Nitrogen regulatory protein P-II	15	
pfam00547	Urease, gamma subunit	6	
pfam00549	CoA-ligase	34	
pfam00550	Phosphopantetheine attachment site	18	
pfam00551	Formyl transferase	36	
pfam00557	Metallopeptidase family M24	78	
pfam00560	Leucine Rich Repeat	10	
pfam00561	alpha/beta hydrolase fold	77	
pfam00562	RNA polymerase Rpb2, domain 6	41	
pfam00563	EAL domain	6	
pfam00564	PB1 domain	1	
pfam00565	Staphylococcal nuclease homologue	10	
pfam00567	Tudor domain	3	
pfam00570	HRDC domain	22	
pfam00571	CBS domain	64	
pfam00572	Ribosomal protein L13	27	
pfam00573	Ribosomal protein L4/L1 family	23	
pfam00574	Clp protease	33	
pfam00575	S1 RNA binding domain	84	
pfam00576	HIUase/Transthyretin family	2	
pfam00578	AhpC/TSA family	88	
pfam00579	tRNA synthetases class I (W and Y)	60	
pfam00580	UvrD/REP helicase N-terminal domain	77	
pfam00581	Rhodanese-like domain	55	
pfam00582	Universal stress protein family	20	
pfam00583	Acetyltransferase (GNAT) family	44	
pfam00584	SecE/Sec61-gamma subunits of protein translocation complex	14	
pfam00585	C-terminal regulatory domain of Threonine dehydratase	6	
pfam00586	AIR synthase related protein, N-terminal domain	52	
pfam00587	tRNA synthetase class II core domain (G, H, P, S and T)	75	
pfam00588	SpoU rRNA Methylase family	42	
pfam00589	Phage integrase family	98	
pfam00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	51	
pfam00591	Glycosyl transferase family, a/b domain	30	
pfam00593	TonB dependent receptor	98	
pfam00595	PDZ domain (Also known as DHR or GLGF)	7	
pfam00596	Class II Aldolase and Adducin N-terminal domain	26	
pfam00619	Caspase recruitment domain	1	
pfam00622	SPRY domain	1	
pfam00623	RNA polymerase Rpb1, domain 2	20	
pfam00625	Guanylate kinase	22	
pfam00628	PHD-finger	1	
pfam00630	Filamin/ABP280 repeat	5	
pfam00632	HECT-domain (ubiquitin-transferase)	3	
pfam00633	Helix-hairpin-helix motif	6	
pfam00634	BRCA2 repeat	1	
pfam00639	PPIC-type PPIASE domain	16	
pfam00643	B-box zinc finger	10	
pfam00651	BTB/POZ domain	2	
pfam00654	Voltage gated chloride channel	10	
pfam00656	Caspase domain	5	
pfam00657	GDSL-like Lipase/Acylhydrolase	1	
pfam00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	20	
pfam00664	ABC transporter transmembrane region	76	
pfam00665	Integrase core domain	101	
pfam00668	Condensation domain	1	
pfam00669	Bacterial flagellin N-terminal helical region	12	
pfam00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	12	
pfam00672	HAMP domain	36	
pfam00673	ribosomal L5P family C-terminus	21	
pfam00675	Insulinase (Peptidase family M16)	26	
pfam00676	Dehydrogenase E1 component	63	
pfam00677	Lumazine binding domain	27	
pfam00679	Elongation factor G C-terminus	49	
pfam00682	HMGL-like	58	
pfam00684	DnaJ central domain	1	
pfam00685	Sulfotransferase domain	7	
pfam00687	Ribosomal protein L1p/L10e family	19	
pfam00689	Cation transporting ATPase, C-terminus	1	
pfam00690	Cation transporter/ATPase, N-terminus	3	
pfam00691	OmpA family	30	
pfam00692	dUTPase	15	
pfam00694	Aconitase C-terminal domain	39	
pfam00696	Amino acid kinase family	79	
pfam00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	20	
pfam00698	Acyl transferase domain	22	
pfam00699	Urease beta subunit	4	
pfam00700	Bacterial flagellin C-terminal helical region	6	
pfam00701	Dihydrodipicolinate synthetase family	48	
pfam00702	haloacid dehalogenase-like hydrolase	14	
pfam00703	Glycosyl hydrolases family 2	3	
pfam00705	Proliferating cell nuclear antigen, N-terminal domain	2	
pfam00707	Translation initiation factor IF-3, C-terminal domain	18	
pfam00708	Acylphosphatase	9	
pfam00709	Adenylosuccinate synthetase	44	
pfam00710	Asparaginase, N-terminal	5	
pfam00712	DNA polymerase III beta subunit, N-terminal domain	19	
pfam00717	Peptidase S24-like	29	
pfam00719	Inorganic pyrophosphatase	2	
pfam00722	Glycosyl hydrolases family 16	5	
pfam00723	Glycosyl hydrolases family 15	4	
pfam00724	NADH:flavin oxidoreductase / NADH oxidase family	13	
pfam00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	24	
pfam00728	Glycosyl hydrolase family 20, catalytic domain	1	
pfam00730	HhH-GPD superfamily base excision DNA repair protein	38	
pfam00731	AIR carboxylase	26	
pfam00732	GMC oxidoreductase	40	
pfam00733	Asparagine synthase	10	
pfam00736	EF-1 guanine nucleotide exchange domain	1	
pfam00737	Photosystem II 10 kDa phosphoprotein	1	
pfam00742	Homoserine dehydrogenase	17	
pfam00743	Flavin-binding monooxygenase-like	6	
pfam00745	Glutamyl-tRNAGlu reductase, dimerisation domain	7	
pfam00749	tRNA synthetases class I (E and Q), catalytic domain	58	
pfam00750	tRNA synthetases class I (R)	18	
pfam00752	XPG N-terminal domain	2	
pfam00753	Metallo-beta-lactamase superfamily	83	
pfam00754	F5/8 type C domain	2	
pfam00756	Putative esterase	6	
pfam00762	Ferrochelatase	13	
pfam00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	22	
pfam00764	Arginosuccinate synthase	40	
pfam00766	Electron transfer flavoprotein FAD-binding domain	11	
pfam00768	D-alanyl-D-alanine carboxypeptidase	21	
pfam00771	FHIPEP family	7	
pfam00772	DnaB-like helicase N terminal domain	18	
pfam00773	RNB domain	21	
pfam00775	Dioxygenase	5	
pfam00780	CNH domain	1	
pfam00782	Dual specificity phosphatase, catalytic domain	5	
pfam00791	ZU5 domain	1	
pfam00792	Phosphoinositide 3-kinase C2	1	
pfam00793	DAHP synthetase I family	33	
pfam00795	Carbon-nitrogen hydrolase	59	
pfam00800	Prephenate dehydratase	21	
pfam00801	PKD domain	6	
pfam00805	Pentapeptide repeats (8 copies)	23	
pfam00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	1	
pfam00809	Pterin binding enzyme	39	
pfam00813	FliP family	2	
pfam00814	Glycoprotease family	40	
pfam00815	Histidinol dehydrogenase	40	
pfam00817	impB/mucB/samB family	18	
pfam00821	Phosphoenolpyruvate carboxykinase	1	
pfam00825	Ribonuclease P	18	
pfam00827	Ribosomal L15	3	
pfam00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	19	
pfam00829	Ribosomal prokaryotic L21 protein	18	
pfam00830	Ribosomal L28 family	18	
pfam00831	Ribosomal L29 protein	18	
pfam00833	Ribosomal S17	3	
pfam00834	Ribulose-phosphate 3 epimerase family	31	
pfam00842	Alanine racemase, C-terminal domain	13	
pfam00848	Ring hydroxylating alpha subunit (catalytic domain)	28	
pfam00849	RNA pseudouridylate synthase	38	
pfam00850	Histone deacetylase domain	8	
pfam00852	Glycosyltransferase family 10 (fucosyltransferase) C-term	44	
pfam00854	POT family	5	
pfam00856	SET domain	2	
pfam00857	Isochorismatase family	9	
pfam00860	Permease family	10	
pfam00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	16	
pfam00866	Ring hydroxylating beta subunit	2	
pfam00867	XPG I-region	2	
pfam00871	Acetokinase family	3	
pfam00872	Transposase, Mutator family	88	
pfam00873	AcrB/AcrD/AcrF family	110	
pfam00875	DNA photolyase	11	
pfam00877	NlpC/P60 family	7	
pfam00881	Nitroreductase family	32	
pfam00882	Zinc dependent phospholipase C	1	
pfam00883	Cytosol aminopeptidase family, catalytic domain	31	
pfam00884	Sulfatase	111	
pfam00885	6,7-dimethyl-8-ribityllumazine synthase	19	
pfam00886	Ribosomal protein S16	14	
pfam00889	Elongation factor TS	18	
pfam00890	FAD binding domain	67	
pfam00891	O-methyltransferase	3	
pfam00892	EamA-like transporter family	65	
pfam00893	Small Multidrug Resistance protein	1	
pfam00899	ThiF family	29	
pfam00900	Ribosomal family S4e	2	
pfam00902	Sec-independent protein translocase protein (TatC)	18	
pfam00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	65	
pfam00905	Penicillin binding protein transpeptidase domain	58	
pfam00907	T-box	1	
pfam00908	dTDP-4-dehydrorhamnose 3,5-epimerase	6	
pfam00909	Ammonium Transporter Family	37	
pfam00912	Transglycosylase	27	
pfam00916	Sulfate permease family	10	
pfam00919	Uncharacterized protein family UPF0004	28	
pfam00920	Dehydratase family	53	
pfam00923	Transaldolase/Fructose-6-phosphate aldolase	16	
pfam00924	Mechanosensitive ion channel	29	
pfam00925	GTP cyclohydrolase II	18	
pfam00926	3,4-dihydroxy-2-butanone 4-phosphate synthase	16	
pfam00929	Exonuclease	40	
pfam00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	8	
pfam00932	Lamin Tail Domain	15	
pfam00933	Glycosyl hydrolase family 3 N terminal domain	21	
pfam00935	Ribosomal protein L44	3	
pfam00936	BMC domain	7	
pfam00939	Sodium:sulfate symporter transmembrane region	9	
pfam00940	DNA-dependent RNA polymerase	1	
pfam00941	FAD binding domain in molybdopterin dehydrogenase	29	
pfam00949	Peptidase S7, Flavivirus NS3 serine protease	1	
pfam00950	ABC 3 transport family	36	
pfam00953	Glycosyl transferase family 4	23	
pfam00958	GMP synthase C terminal domain	21	
pfam00961	LAGLIDADG endonuclease	2	
pfam00962	Adenosine/AMP deaminase	9	
pfam00963	Cohesin domain	1	
pfam00970	Oxidoreductase FAD-binding domain	16	
pfam00975	Thioesterase domain	1	
pfam00977	Histidine biosynthesis protein	51	
pfam00982	Glycosyltransferase family 20	12	
pfam00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain	17	
pfam00986	DNA gyrase B subunit, carboxyl terminus	30	
pfam00988	Carbamoyl-phosphate synthase small chain, CPSase domain	21	
pfam00989	PAS fold	7	
pfam00990	Diguanylate cyclase, GGDEF domain	15	
pfam00994	Probable molybdopterin binding domain	42	
pfam00999	Sodium/hydrogen exchanger family	27	
pfam01000	RNA polymerase Rpb3/RpoA insert domain	16	
pfam01008	Initiation factor 2 subunit family	7	
pfam01010	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus	1	
pfam01011	PQQ enzyme repeat	18	
pfam01012	Electron transfer flavoprotein domain	26	
pfam01015	Ribosomal S3Ae family	3	
pfam01016	Ribosomal L27 protein	14	
pfam01018	GTP1/OBG	19	
pfam01019	Gamma-glutamyltranspeptidase	56	
pfam01022	Bacterial regulatory protein, arsR family	7	
pfam01025	GrpE	23	
pfam01026	TatD related DNase	17	
pfam01027	Inhibitor of apoptosis-promoting Bax1	16	
pfam01028	Eukaryotic DNA topoisomerase I, catalytic core	4	
pfam01029	NusB family	21	
pfam01030	Receptor L domain	2	
pfam01032	FecCD transport family	19	
pfam01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	26	
pfam01037	Lrp/AsnC ligand binding domain	32	
pfam01039	Carboxyl transferase domain	69	
pfam01040	UbiA prenyltransferase family	52	
pfam01041	DegT/DnrJ/EryC1/StrS aminotransferase family	33	
pfam01042	Endoribonuclease L-PSP	37	
pfam01043	SecA preprotein cross-linking domain	4	
pfam01047	MarR family	8	
pfam01048	Phosphorylase superfamily	31	
pfam01050	Mannose-6-phosphate isomerase	17	
pfam01051	Initiator Replication protein	5	
pfam01052	Type III flagellar switch regulator (C-ring) FliN C-term	6	
pfam01053	Cys/Met metabolism PLP-dependent enzyme	64	
pfam01055	Glycosyl hydrolases family 31	2	
pfam01058	NADH ubiquinone oxidoreductase, 20 Kd subunit	16	
pfam01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus	6	
