Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00480	ROK family	7	
pfam00482	Type II secretion system (T2SS), protein F	19	
pfam00483	Nucleotidyl transferase	40	
pfam00484	Carbonic anhydrase	12	
pfam00485	Phosphoribulokinase / Uridine kinase family	6	
pfam00486	Transcriptional regulatory protein, C terminal	44	
pfam00487	Fatty acid desaturase	22	
pfam00488	MutS domain V	15	
pfam00490	Delta-aminolevulinic acid dehydratase	10	
pfam00491	Arginase family	14	
pfam00494	Squalene/phytoene synthase	5	
pfam00496	Bacterial extracellular solute-binding proteins, family 5 Middle	44	
pfam00497	Bacterial extracellular solute-binding proteins, family 3	31	
pfam00498	FHA domain	2	
pfam00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	7	
pfam00501	AMP-binding enzyme	204	
pfam00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	4	
pfam00510	Cytochrome c oxidase subunit III	12	
pfam00512	His Kinase A (phospho-acceptor) domain	148	
pfam00515	Tetratricopeptide repeat	24	
pfam00520	Ion transport protein	8	
pfam00521	DNA gyrase/topoisomerase IV, subunit A	24	
pfam00528	Binding-protein-dependent transport system inner membrane component	133	
pfam00529	HlyD membrane-fusion protein of T1SS	28	
pfam00532	Periplasmic binding proteins and sugar binding domain of LacI family	1	
pfam00533	BRCA1 C Terminus (BRCT) domain	7	
pfam00534	Glycosyl transferases group 1	70	
pfam00535	Glycosyl transferase family 2	54	
pfam00542	Ribosomal protein L7/L12 C-terminal domain	3	
pfam00543	Nitrogen regulatory protein P-II	13	
pfam00547	Urease, gamma subunit	1	
pfam00549	CoA-ligase	9	
pfam00550	Phosphopantetheine attachment site	26	
pfam00551	Formyl transferase	21	
pfam00557	Metallopeptidase family M24	33	
pfam00560	Leucine Rich Repeat	3	
pfam00561	alpha/beta hydrolase fold	13	
pfam00562	RNA polymerase Rpb2, domain 6	13	
pfam00563	EAL domain	41	
pfam00565	Staphylococcal nuclease homologue	10	
pfam00566	Rab-GTPase-TBC domain	1	
pfam00570	HRDC domain	8	
pfam00571	CBS domain	44	
pfam00572	Ribosomal protein L13	7	
pfam00573	Ribosomal protein L4/L1 family	5	
pfam00574	Clp protease	15	
pfam00575	S1 RNA binding domain	33	
pfam00576	HIUase/Transthyretin family	4	
pfam00577	Outer membrane usher protein	1	
pfam00578	AhpC/TSA family	35	
pfam00579	tRNA synthetases class I (W and Y)	16	
pfam00580	UvrD/REP helicase N-terminal domain	31	
pfam00581	Rhodanese-like domain	42	
pfam00582	Universal stress protein family	33	
pfam00583	Acetyltransferase (GNAT) family	41	
pfam00584	SecE/Sec61-gamma subunits of protein translocation complex	4	
pfam00585	C-terminal regulatory domain of Threonine dehydratase	4	
pfam00586	AIR synthase related protein, N-terminal domain	19	
pfam00587	tRNA synthetase class II core domain (G, H, P, S and T)	22	
pfam00588	SpoU rRNA Methylase family	19	
pfam00589	Phage integrase family	55	
pfam00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	25	
pfam00591	Glycosyl transferase family, a/b domain	17	
pfam00593	TonB dependent receptor	98	
pfam00595	PDZ domain (Also known as DHR or GLGF)	5	
pfam00596	Class II Aldolase and Adducin N-terminal domain	12	
pfam00614	Phospholipase D Active site motif	1	
pfam00616	GTPase-activator protein for Ras-like GTPase	1	
pfam00621	RhoGEF domain	1	
pfam00623	RNA polymerase Rpb1, domain 2	8	
pfam00625	Guanylate kinase	8	
pfam00627	UBA/TS-N domain	4	
pfam00629	MAM domain, meprin/A5/mu	4	
pfam00630	Filamin/ABP280 repeat	2	
pfam00633	Helix-hairpin-helix motif	1	
pfam00639	PPIC-type PPIASE domain	13	
pfam00648	Calpain family cysteine protease	1	
pfam00652	Ricin-type beta-trefoil lectin domain	2	
pfam00654	Voltage gated chloride channel	19	
pfam00656	Caspase domain	10	
pfam00659	POLO box duplicated region	1	
pfam00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	8	
pfam00664	ABC transporter transmembrane region	36	
pfam00665	Integrase core domain	27	
pfam00667	FAD binding domain	1	
pfam00668	Condensation domain	19	
pfam00669	Bacterial flagellin N-terminal helical region	10	
pfam00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	11	
pfam00672	HAMP domain	48	
pfam00673	ribosomal L5P family C-terminus	6	
pfam00675	Insulinase (Peptidase family M16)	21	
pfam00676	Dehydrogenase E1 component	31	
pfam00677	Lumazine binding domain	9	
pfam00679	Elongation factor G C-terminus	15	
pfam00682	HMGL-like	24	
pfam00684	DnaJ central domain	2	
pfam00685	Sulfotransferase domain	8	
pfam00687	Ribosomal protein L1p/L10e family	6	
pfam00689	Cation transporting ATPase, C-terminus	1	
pfam00690	Cation transporter/ATPase, N-terminus	2	
pfam00691	OmpA family	44	
pfam00692	dUTPase	9	
pfam00694	Aconitase C-terminal domain	11	
pfam00696	Amino acid kinase family	41	
pfam00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	12	
pfam00698	Acyl transferase domain	10	
pfam00700	Bacterial flagellin C-terminal helical region	10	
pfam00701	Dihydrodipicolinate synthetase family	15	
pfam00702	haloacid dehalogenase-like hydrolase	47	
pfam00703	Glycosyl hydrolases family 2	3	
pfam00704	Glycosyl hydrolases family 18	2	
pfam00707	Translation initiation factor IF-3, C-terminal domain	5	
pfam00708	Acylphosphatase	2	
pfam00709	Adenylosuccinate synthetase	13	
pfam00710	Asparaginase, N-terminal	6	
pfam00717	Peptidase S24-like	19	
pfam00719	Inorganic pyrophosphatase	4	
pfam00722	Glycosyl hydrolases family 16	1	
pfam00723	Glycosyl hydrolases family 15	3	
pfam00724	NADH:flavin oxidoreductase / NADH oxidase family	27	
pfam00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	29	
pfam00728	Glycosyl hydrolase family 20, catalytic domain	3	
pfam00730	HhH-GPD superfamily base excision DNA repair protein	15	
pfam00731	AIR carboxylase	8	
pfam00732	GMC oxidoreductase	27	
pfam00733	Asparagine synthase	11	
pfam00742	Homoserine dehydrogenase	12	
pfam00743	Flavin-binding monooxygenase-like	3	
pfam00745	Glutamyl-tRNAGlu reductase, dimerisation domain	1	
pfam00749	tRNA synthetases class I (E and Q), catalytic domain	19	
pfam00750	tRNA synthetases class I (R)	9	
pfam00753	Metallo-beta-lactamase superfamily	54	
pfam00754	F5/8 type C domain	3	
pfam00756	Putative esterase	16	
pfam00762	Ferrochelatase	7	
pfam00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	9	
pfam00764	Arginosuccinate synthase	12	
pfam00765	Autoinducer synthase	2	
pfam00766	Electron transfer flavoprotein FAD-binding domain	6	
pfam00768	D-alanyl-D-alanine carboxypeptidase	15	
pfam00771	FHIPEP family	7	
pfam00772	DnaB-like helicase N terminal domain	5	
pfam00773	RNB domain	12	
pfam00775	Dioxygenase	5	
pfam00781	Diacylglycerol kinase catalytic domain	4	
pfam00782	Dual specificity phosphatase, catalytic domain	2	
pfam00793	DAHP synthetase I family	11	
pfam00795	Carbon-nitrogen hydrolase	31	
pfam00800	Prephenate dehydratase	9	
pfam00801	PKD domain	60	
pfam00805	Pentapeptide repeats (8 copies)	5	
pfam00809	Pterin binding enzyme	11	
pfam00813	FliP family	7	
pfam00814	Glycoprotease family	15	
pfam00815	Histidinol dehydrogenase	9	
pfam00816	H-NS histone family	1	
pfam00817	impB/mucB/samB family	13	
pfam00821	Phosphoenolpyruvate carboxykinase	3	
pfam00825	Ribonuclease P	3	
pfam00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	5	
pfam00829	Ribosomal prokaryotic L21 protein	7	
pfam00830	Ribosomal L28 family	3	
pfam00831	Ribosomal L29 protein	3	
pfam00834	Ribulose-phosphate 3 epimerase family	6	
pfam00837	Iodothyronine deiodinase	1	
pfam00842	Alanine racemase, C-terminal domain	6	
pfam00848	Ring hydroxylating alpha subunit (catalytic domain)	21	
pfam00849	RNA pseudouridylate synthase	32	
pfam00850	Histone deacetylase domain	11	
pfam00854	POT family	7	
pfam00856	SET domain	1	
pfam00857	Isochorismatase family	12	
pfam00860	Permease family	3	
pfam00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	6	
pfam00864	ATP P2X receptor	1	
pfam00866	Ring hydroxylating beta subunit	5	
pfam00871	Acetokinase family	4	
pfam00872	Transposase, Mutator family	4	
pfam00873	AcrB/AcrD/AcrF family	208	
pfam00875	DNA photolyase	4	
pfam00877	NlpC/P60 family	9	
pfam00881	Nitroreductase family	15	
pfam00882	Zinc dependent phospholipase C	1	
pfam00883	Cytosol aminopeptidase family, catalytic domain	16	
pfam00884	Sulfatase	56	
pfam00885	6,7-dimethyl-8-ribityllumazine synthase	8	
pfam00886	Ribosomal protein S16	1	
pfam00887	Acyl CoA binding protein	2	
pfam00889	Elongation factor TS	4	
pfam00890	FAD binding domain	33	
pfam00891	O-methyltransferase	1	
pfam00892	EamA-like transporter family	80	
pfam00893	Small Multidrug Resistance protein	4	
pfam00899	ThiF family	12	
pfam00902	Sec-independent protein translocase protein (TatC)	9	
pfam00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	30	
pfam00905	Penicillin binding protein transpeptidase domain	48	
pfam00908	dTDP-4-dehydrorhamnose 3,5-epimerase	7	
pfam00909	Ammonium Transporter Family	18	
pfam00912	Transglycosylase	26	
pfam00916	Sulfate permease family	26	
pfam00919	Uncharacterized protein family UPF0004	11	
pfam00920	Dehydratase family	25	
pfam00923	Transaldolase/Fructose-6-phosphate aldolase	8	
pfam00924	Mechanosensitive ion channel	40	
pfam00925	GTP cyclohydrolase II	13	
pfam00926	3,4-dihydroxy-2-butanone 4-phosphate synthase	9	
pfam00929	Exonuclease	21	
pfam00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	5	
pfam00931	NB-ARC domain	2	
pfam00932	Lamin Tail Domain	9	
pfam00933	Glycosyl hydrolase family 3 N terminal domain	14	
pfam00939	Sodium:sulfate symporter transmembrane region	16	
pfam00941	FAD binding domain in molybdopterin dehydrogenase	10	
pfam00950	ABC 3 transport family	12	
pfam00953	Glycosyl transferase family 4	12	
pfam00958	GMP synthase C terminal domain	1	
pfam00959	Phage lysozyme	2	
pfam00962	Adenosine/AMP deaminase	9	
pfam00963	Cohesin domain	2	
pfam00970	Oxidoreductase FAD-binding domain	13	
pfam00975	Thioesterase domain	2	
pfam00977	Histidine biosynthesis protein	16	
pfam00982	Glycosyltransferase family 20	4	
pfam00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain	17	
pfam00986	DNA gyrase B subunit, carboxyl terminus	8	
pfam00988	Carbamoyl-phosphate synthase small chain, CPSase domain	8	
pfam00989	PAS fold	24	
pfam00990	Diguanylate cyclase, GGDEF domain	74	
pfam00994	Probable molybdopterin binding domain	13	
pfam00999	Sodium/hydrogen exchanger family	35	
pfam01000	RNA polymerase Rpb3/RpoA insert domain	4	
pfam01008	Initiation factor 2 subunit family	2	
pfam01011	PQQ enzyme repeat	5	
pfam01012	Electron transfer flavoprotein domain	17	
pfam01016	Ribosomal L27 protein	4	
pfam01018	GTP1/OBG	4	
pfam01019	Gamma-glutamyltranspeptidase	34	
pfam01022	Bacterial regulatory protein, arsR family	6	
pfam01025	GrpE	11	
pfam01026	TatD related DNase	5	
pfam01027	Inhibitor of apoptosis-promoting Bax1	4	
pfam01029	NusB family	11	
pfam01032	FecCD transport family	17	
pfam01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	17	
pfam01037	Lrp/AsnC ligand binding domain	30	
pfam01039	Carboxyl transferase domain	37	
pfam01040	UbiA prenyltransferase family	24	
pfam01041	DegT/DnrJ/EryC1/StrS aminotransferase family	34	
pfam01042	Endoribonuclease L-PSP	17	
pfam01043	SecA preprotein cross-linking domain	4	
pfam01047	MarR family	18	
pfam01048	Phosphorylase superfamily	16	
pfam01050	Mannose-6-phosphate isomerase	5	
pfam01051	Initiator Replication protein	2	
pfam01052	Type III flagellar switch regulator (C-ring) FliN C-term	7	
pfam01053	Cys/Met metabolism PLP-dependent enzyme	48	
pfam01055	Glycosyl hydrolases family 31	2	
pfam01058	NADH ubiquinone oxidoreductase, 20 Kd subunit	9	
pfam01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus	1	
pfam01060	Transthyretin-like family	1	
pfam01061	ABC-2 type transporter	14	
pfam01062	Bestrophin, RFP-TM, chloride channel	4	
pfam01063	Amino-transferase class IV	23	
pfam01066	CDP-alcohol phosphatidyltransferase	15	
pfam01068	ATP dependent DNA ligase domain	1	
pfam01070	FMN-dependent dehydrogenase	15	
pfam01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	11	
pfam01073	3-beta hydroxysteroid dehydrogenase/isomerase family	1	
pfam01074	Glycosyl hydrolases family 38 N-terminal domain	1	
pfam01075	Glycosyltransferase family 9 (heptosyltransferase)	14	
pfam01077	Nitrite and sulphite reductase 4Fe-4S domain	18	
pfam01078	Magnesium chelatase, subunit ChlI	10	
pfam01081	KDPG and KHG aldolase	7	
pfam01084	Ribosomal protein S18	4	
pfam01087	Galactose-1-phosphate uridyl transferase, N-terminal domain	1	
pfam01094	Receptor family ligand binding region	1	
pfam01098	Cell cycle protein	15	
pfam01103	Surface antigen	13	
pfam01106	NifU-like domain	9	
pfam01108	Tissue factor	1	
pfam01112	Asparaginase	10	
pfam01113	Dihydrodipicolinate reductase, N-terminus	4	
pfam01116	Fructose-bisphosphate aldolase class-II	4	
pfam01118	Semialdehyde dehydrogenase, NAD binding domain	19	
pfam01119	DNA mismatch repair protein, C-terminal domain	7	
pfam01120	Alpha-L-fucosidase	2	
pfam01121	Dephospho-CoA kinase	6	
pfam01124	MAPEG family	8	
pfam01127	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	6	
pfam01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	11	
pfam01131	DNA topoisomerase	13	
pfam01132	Elongation factor P (EF-P) OB domain	9	
pfam01134	Glucose inhibited division protein A	19	
pfam01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)	9	
pfam01136	Peptidase family U32	5	
pfam01138	3' exoribonuclease family, domain 1	9	
pfam01139	tRNA-splicing ligase RtcB	5	
pfam01142	tRNA pseudouridine synthase D (TruD)	4	
pfam01144	Coenzyme A transferase	21	
pfam01145	SPFH domain / Band 7 family	9	
pfam01148	Cytidylyltransferase family	9	
pfam01149	Formamidopyrimidine-DNA glycosylase N-terminal domain	4	
pfam01152	Bacterial-like globin	8	
pfam01156	Inosine-uridine preferring nucleoside hydrolase	6	
pfam01163	RIO1 family	1	
pfam01165	Ribosomal protein S21	5	
pfam01168	Alanine racemase, N-terminal domain	23	
pfam01170	Putative RNA methylase family UPF0020	6	
pfam01171	PP-loop family	8	
pfam01174	SNO glutamine amidotransferase family	1	
pfam01175	Urocanase	10	
pfam01176	Translation initiation factor 1A / IF-1	3	
pfam01177	Asp/Glu/Hydantoin racemase	10	
pfam01180	Dihydroorotate dehydrogenase	7	
pfam01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	6	
pfam01183	Glycosyl hydrolases family 25	4	
pfam01186	Lysyl oxidase	2	
pfam01189	16S rRNA methyltransferase RsmB/F	19	
pfam01192	RNA polymerase Rpb6	7	
pfam01193	RNA polymerase Rpb3/Rpb11 dimerisation domain	2	
pfam01195	Peptidyl-tRNA hydrolase	4	
pfam01196	Ribosomal protein L17	5	
